onset	duration	trial_type	classification	response_time	stimulus	trial_number
351.2000000000012	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
352.8000000000012	0.8	0back	true negative	n/a	stimuli/fnb_formB_01.jpg	114.0
353.6000000000012	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
355.20000000000124	0.8	0back	true negative	n/a	stimuli/fnb_formB_17.jpg	115.0
356.00000000000125	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
357.6000000000013	0.8	0back	true negative	n/a	stimuli/fnb_formB_05.jpg	116.0
358.4000000000013	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
360.0000000000013	0.8	0back	true negative	n/a	stimuli/fnb_formB_07.jpg	117.0
360.8000000000013	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
362.40000000000134	0.8	0back	true positive	0.5457	stimuli/fnb_formB_19.jpg	118.0
363.20000000000135	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
364.8000000000014	0.8	0back	true negative	n/a	stimuli/fnb_formB_12.jpg	119.0
365.6000000000014	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
367.2000000000014	0.8	0back	true negative	n/a	stimuli/fnb_formB_03.jpg	120.0
368.0000000000014	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
369.60000000000144	48.0	fixation	n/a	n/a	stimuli/mask_Fix_xhair.jpg	n/a
